S.No.,Developer Name,CEO Name ,Office Address,Office Contact No.,Mobile No. ,E Mail,Total Project capacity (MW),Project Location,Project Tehsil/Taluka,Project District,Project Logitude,Project Latitude,"Projects in Solar Park
(Yes/No), If yes mention Solar Park name",,Type (Ground Mounted/Rooftop/Other),Type of Module (Thin/Poly/Mono/Other),Module Make,Scheme (Central /State Scheme),Mode of sale of power(captive/PPA/Third party sale),Tenure of PPA,Substation Name,Substation Voltage Level,Feeder Name,Feeder Voltage,Commissioned AC Capacity (MW) ,Commissioned DC Capacity (MWp) ,Date of Commissioning ,"Remark,if any",FY
115,SEI Green Flash Pvt.Ltd,Ch. Anil Kumar,"1131/A, Sai Square, Road No.36, jubilee Hills, Hyderabad - 500033",040-40301000,9100533429,info@greenkogroup.com,30,Adurupalli,Chejarla,SPSR Nellore,"79°35'31.90""E","14°29'48.07""N",No,NA,Ground mounted,Poly Crystalline,Jinko,State,PPA,25years,Adurupalli,132/33kV,,132kV,30,41.01,27.10.2017,,2017-18
116,Greenko solar power(Dharmavaram)Ltd (Formerly Known as Rain Coke Ltd),Mr. Ram Prasad N,"#1131/A, Sai Square Building, Road No. 36,
Jubilee Hills, Hyderabad- 500033,
Telangana State, India",040-40301000,"9959552119, 9959552017, 9100533429;",subbaraju.p@greenkogroup.com; seshagirirao.n@greenkogroup.com; ramprasad.n@greenkogroup.com,22,Kunuthuru,Dharmavaram,Ananthapuramu,"77°40'09.0""E","14°27'23.3""N",No,NA,Ground mounted,Poly Crystalline,RISEN,State,PPA,25yrs,Dharmavaram,132/33 KV,Rain Coke Ltd,33 KV,22,24.194,07.11.2017,,2017-18
117,Amplus Andhra Power Pvt Ltd,,"6th Floor, The Palm Square, Golf Course Road Extn, Sector-66, Gugoan 122102","9581989581
7382050291",," benarjee.tappeti@Amplussolar.com
kiran.parimi@amplussolar.com",2,Eedupugallu ,Kankipadu , Krishna ,80.75° E,16.48° N,No,NA,Ground mounted,Poly Crystalline,Trina Solar,State,Third Party Sale,NA,Edupugallu,11/33 KV,33KV Edupugallu,33KV,2,2.47,30.12.2017,,2017-18
118,Sri Chakra Cements Pvt. Ltd.,Mr. Krishna Mohan,"Dr.No.6-3-668/10/66, Durga Nagar Colony, Punjagutta, Hyderabad - 500 082",9618001202,9618001202,dwarakasripathi@gmail.com,3,Perindesam,KVB Puram ,Chittoor,79.733,13.593,No,NA,Ground mounted,Poly Crystalline,Canadian Solar,State,Captive Use,NA,Ragigunta SS,33 KV,,,3,3,9.3.2018,,2017-18
119,Arkha Solar Power Pvt Ltd,Srinivasan Viswanathan,"VEH Global India Pvt Ltd. Level- 1, N- Heights, Plot No- 38, Phase- 2, Siddiq Nagar, Hi-Tec City, Hyderabad, Telangana- 500081.
",4067846101,9533422106,VAheerYadav@vibrantenergyholdings.com,10,Thanakallu,Kadiri,Ananthapuramu,78.179,13.907,No,NA,Ground mounted,Poly Crystalline,GCEL,State Scheme,Captive,,Gunjuvaripalli,33 / 132KV,,33KV,10,10,02.04.2018,,2018-19
120,SB Solar Services Pvt Ltd,Mr.Ramanand ,"SB Energy private Limited,World mark-II,Aerocity NH-8,New delhi-110037",1149217999,9030416814,narendrababu.purilla@sbenergy.com,2,Shakunala,Orvakal,Kurnool,78.1547.5,15.427.3,No,NA,Ground Mounted,Poly Crystalline,"Trina,jollywood,gcl,longi,ja solar",State,PPA,12 years,Chowtkur,11/33 KV,Solar plant line,33 KV,2,2,21.03.2019,,2018-19
121,Odysseus Logos LLP,Abhimanyu,"ODYSSEUS LOGOS LLP 3-29-8-1-1, H.NO.453, NTR STREET, KRISHNA NAGAR, GUNTUR",7382722644,8897300488,"lavuabhimanyu@gmail.com , machapavan005@gmail.com",2,Gandlaparty,Rapthasu,Ananthapuramu,"77°32'20.44572""","14°32'0.77748"" ",No,NA,Ground mounted,Poly Crystalline,Canadian solar,State,Captive Use,NA,Gandlaparty,11/33 KV,Hampapuram,33 KV,2,2.2,30.12.2018,,2018-19
122,Azure Power Thiry Six Pvt.Ltd.,Ranjit Gupta,"Azure Power, Assest 301-304 & 307, World mark -3, Aerocity, Newdelhi- 110037",+91 11 49409800,9133316439,harinadha.reddy@azurepower.com,50,Veligallu,Galiveedu,YSR Kadapa ,78.44,14.02,Yes,Ananthapuramu Ultra Mega Solar Park-I,Ground mounted,Poly Crystalline,"Q-cell, Hanwha",Central,PPA,25 Years,NP Kunta,220/400KV,Azure 7A & 7B,220 KV,50,59.2,30.04.2018,,2018-19
123,Waneep Solar Pvt Ltd (Hero Future Energies ltd),Sunil Jain,"202,Okhla Industrial Estate PH-III,New Delhi-20,India ",9.1115E+11,8554992344,ramakanth.reddy@herofutureenergies.com,25,O G Kuppam ,Nagari,Chittoor,79.6,13.3,No,NA,Ground mounted,Poly Crystalline /Mono Crystalline,Waaree,State,PPA,25 Years,Nagari,33/132/220 KV,Waaneep Solar,33 KV,25,29.7,24.05.2018    (4.00MW)                                     &                            02.08.2018 (21.00MW),,2018-19
124,"ACME Karnal
Solar Power Pvt Ltd","Sandeep 
Kashyap","Plot no. 152, Sector-44, 
Gurgaon -122002",0124711-7000,9911299530,"sandeep.kashyap@
acme.in",50,Thumukunta,Galiveedu,YSR Kadapa ,78.457,14.111,Yes,Ananthapuramu Ultra Mega Solar Park-I,Ground mounted,Poly Crystalline,"Risen, Talesun, Znshine, 
Lihgtway, CECEP",Central,PPA,25 Years,"NP Kunta 
",220/400 KV,,220 KV,50,67.7,14.06.2018,,2018-19
125,"ACME Hisar
Solar Power Pvt Ltd","Sandeep 
Kashyap","Plot no. 152,
 Sector-44, Gurgaon -122002",0124711-7000,9911299530,"sandeep.kashyap
@acme.in",50,Thumukunta,Galiveedu,YSR Kadapa ,78.463,14.102,Yes,Ananthapuramu Ultra Mega Solar Park-I,Ground mounted,Poly Crystalline,"Risen, Talesun,
 Znshine, Adani",Central,PPA,25 Years,"NP Kunta 
",220/400 KV,,220 KV,50,67.7,14.06.2018,,2018-19
126,FRV Andhra Pradesh Solar Farm-I Pvt.Ltd.,Mr.Sushil Vohra,"Suite 276,The Leela Ambience Guragaon Hotel&Residences,Ambience Island,NH-8,Gurgoan-122002",,9650498777,"guiomar.gimenez
@frv.com",50,Velligallu,Galiveedu,YSR Kadapa ,78.43,14.024,Yes,Ananthapuramu Ultra Mega Solar Park-I,Ground mounted,Mono crystalline,Longi,Central,PPA,25 Years,"NP Kunta 
",220/400 KV,8A & 8B,220 KV,50,70,14.06.2018,,2018-19
127,Tata Power Renewable Energy Ltd,"Mahesh
 Paranjpe","Tata Power Renewable Energy limited., 
34, Sant Tukaram Mark, Carnac,  
Masjid Bunder, Mumbai 400009 ",,9248089452,solai@tatapower.com,50,Thumukunta,Galiveedu,YSR Kadapa ,78.17,14.12,Yes,Ananthapuramu Ultra Mega Solar Park-I,Ground mounted,Poly,Yingli,Central,PPA,25 Years,"NP Kunta 
",220/400 KV,TATA 4A & 4B,220 KV,50,65,14.06.2018,,2018-19
128,Tata Power Renewable Energy Ltd,"Mahesh 
Paranjpe","Tata Power Renewable Energy limited., 
34, Sant Tukaram Mark, Carnac,  
Masjid Bunder, Mumbai 400009 ",,9248089452,solai@tatapower.com,50,Thumukunta,Galiveedu,YSR Kadapa ,78.17,14.12,Yes,Ananthapuramu Ultra Mega Solar Park-I,Ground mounted,Thin,First Solar,Central,PPA,25 Years,"NP Kunta 
",220/400 KV,TATA 5A & 5B,220 KV,50,63,15.06.2018,,2018-19
129,Slylandro Power Pvt Ltd,,"42-1-48 Thurpu Kammapalem,Near ramalayam,Ongole- 523001 ",,,anjaiahassociates@gmail.com,2.4,Kakarla,Marripadu,Prakasam,,,No,NA,Ground mounted,,,State,Third Party Sale,NA,,,,,2.4,,18.06.2018,,2018-19
130,"ACME
Bhiwadi Solar Power Pvt Ltd","Sandeep 
Kashyap","Plot no. 152, Sector-44, 
Gurgaon -122002",0124711-7000,9911299530,"sandeep.
kashyap@acme.in",50,Thumukunta,Galiveedu,YSR Kadapa ,78.463,14.084,Yes,Ananthapuramu Ultra Mega Solar Park-I,Ground mounted,Poly Crystalline,"Znshine, Risen, 
Lightway",Central,PPA,25 Years,"NP Kunta 
",220/400 KV,,220 KV,50,67.7,01.07.2018,,2018-19
131,"IOCL
Kadapa","N. Ravi 
Shankar","Kadapa 
near Apsrtc work shop",9384938726,,"ravishankarn
@indianoil.in",3,Puttampalli,Kadapa,YSR Kadapa ,"78.52'32""","14.26'26""",No,NA,Ground mounted,Poly Crystalline,HHV Solar,State,Captive Use,NA,"IDA 33/11 KV 
Kadapa",11/33 KV,IOCL ,33KV,3,3.003,18.07.2018,,2018-19
132,Subramanya Solar Power Projects LLP,Mr. Vijay Kumar,"6-3-668/10/66, Durga Nagar Colony,Punjagutta ,Hyderabad- 500082",9618001202,9618001202,dwarakasripathi@gmail.com,2,Perindesam (V),KVB Puram (M),Chittoor,79.733,13.593,No,NA,Ground mounted,Poly Crystalline,Canadian Solar,State,Captive Use,NA,Ragigunta SS,11/33 KV,,,2,2,11.08.2018,,2018-19
133,Greater Visakhapatnam Smart City Corporation Ltd ,GVMC Commissioner,"GVSCCL,Room No : 306,Tenneti Bhavan,Ramnagar,Viskhapatnam- 530002",Office Assistant : K .Appa Rao .8106455030,8106455030,manager@gvsccl.in,2,Mudasaralova,Visakakhapatnam,Visakhapatnam,83.175,17.46,No,NA,Floating,Poly Crystalline,ZN SHINE,State,Captive Use,NA,PINEAPPLE COLONY SS,11/33 KV,2 MW SOLAR FEEDER,33 KV,2,2,18.08.2018,,2018-19
134,FRV Andhra Pradesh Solar Farm-I Pvt.Ltd.,Mr.Sushil Vohra,"Suite 276,The Leela Ambience Guragaon Hotel&Residences,Ambience Island,NH-8,Gurgoan-122002",,9650498777,"guiomar.gimenez
@frv.com",50,Thumukunta,Galiveedu,YSR Kadapa ,78.459,14.112,Yes,Ananthapuramu Ultra Mega Solar Park-I,Ground mounted,Poly Crystalline,TRINA SOLAR,Central,PPA,25 Years,"
NP Kunta 
",220/400 KV,,220 KV,50,68,29.09.2018,,2018-19
135,"B.P.G.R. Electrical Contractors& Engineers Private Ltd.,",B.Gopal Reddy,"#6-350, BGR Complex, Azad Nagar, Kalyandurg Road, Ananthapur (A.P)",08554-270171,"9440286171, 9031313108","bpgrsolar171@gmail.com , mikebhargav@gmail.com",3,Englibanda,Gooty,Ananthapuramu,,,No,NA,Ground mounted,Thin Film,Candian solar,State,Third Party Sale,NA,Thodapadu,11/33 KV,Pedda Vaduguru,,3,3.3,22.11.2018,,2018-19
136,"Andhra Pradesh Power Generation Corportaion Limited (APGENCO)
",Sri.P.Rafi Ahmed  Executive Engineer 400MW Solar Power Plant,"Office of the Executive Engineer  400MW Solar Plant Plant, Talaricheruvu, APGENCO, TADIPATRI",8558223904,9493123904,"pahes.de@apgenco.gov.in  


solarpowerproject.tdpt@gmail.com",250,Talaricheruvu,Tadipatri,Ananthapuramu,78.1,15.0° ,Yes,Anathapuramu Ultra Mega Solar Park-II,Ground mounted,Poly Crystalline,"Vikram Solar 
zhijiang Trunsun, ChinaWuxi Suntech
Power Co. Ltd, China,Anhui Schutten 
Solar Power Co. Ltd, China





",Central,PPA,25 Years,Talaricheruvu,200/400 KV,,220  KV,250,,30.12.2018,,2018-19
137,Sree Jaya Jyothi Cements Pvt Ltd.,BC Gurivi Reddy,"Yenakandla Village, Banaganapali Mandal, Enakandla, Kurnool, Andhra Pradesh - 518124","7660013042 (Sri. Gurivi Reddy, Site Incharge)","7660013042 (Sri. Gurivi Reddy, Site Incharge)",gurivireddy.b@myhomegroup.in,10,Yanakandla,Banaganapalli,Kurnool,78.2,15.4,No,NA,Ground mounted,,,State,Captive Use,NA, Banaganapalli,,,,10,,31.01.2019,,2018-19
138,APGENCO,Sri.P.Rafi Ahmed  Executive Engineer 400MW Solar Power Plant,"Office of the Executive Engineer  400MW Solar Plant Plant, Talaricheruvu, APGENCO, TADIPATRI",8558223904,9493123904,"pahes.de@apgenco.gov.in  


solarpowerproject.tdpt@gmail.com",150,Talaricheruvu,Tadipatri,Ananthapuramu,79.1,15.0° ,Yes,Anathapuramu Ultra Mega Solar Park-II,Ground mounted,Poly Crystalline,"1. M/s Vikram Solar Limited, Kolkata, India
2. M/s zhijiang Trunsun, China
3. M/s Wuxi Suntech
Power Co. Ltd, China
4.M/s Anhui Schutten 
Solar Power Co. Ltd, China





",Central,PPA,25,Talaricheruvu,220/400 KV,,220 KV,150,,12.02.2019,,2018-19
139,M/s. My Home Industries Pvt. Ltd,,"9th floor, Block -3, My Home Hub, 
Madhapur, Hyderabad - 500 081 
Ph: 040 66929655
",040-66929770,,jagadish@myhomegroup.in,4,Mulakapalli,Yelamanchili,Visakhapatnam,,,No,NA,Ground Mounted,,,State,Captive Use,NA,,,,,4,4.6,20.02.2019,,2018-19
140,Sprint Exports Pvt Ltd,"Sri.G.Pavan Kumar,
M.D","#10-50-84/C, Sun Towers, Waltair Main Road, Visakhapatnam-530 002",0981 2501116,9849723532,vijay@sprintexports.com,2,V.Krishna Puram,Dathirajeru,Vizianagaram,83.363,18.392,No,NA,Ground mounted,Poly Crystaline,"JinKo solar,
Canadian solar",State,Captive Use,NA,Komatipalli,11/33 KV,Sprint Solar,33 KV,2,2,22.03.2019,,2018-19
141,Powermech Infra Ltd,G V Raghu Ram,"2nd Floor, Lohia towers, Patamata, Vijayawada 520010",91771-27878,91771-27878,gvr@pmilinfra.net,1.7,Peda Alavalapadu,Peda Cherlopalle,Prakasam ,79.6228⁰,15.3275⁰,No,NA,Ground mounted,Poly Crystalline,HTSAAE - Chinese,State,Captive Use,NA,Pedda Alavalapadu,33/11 KV,Kanigiri,33 KV,1.7,2,23.03.2019,,2018-19
142, Alufluoride Ltd,,"Mulagada,Mindi,Visakhapatnam",,8912548567,contact@alufluoride.com,1.6,Polepalli,Butchiyyapeta,Visakhapatnam,,,No,NA,Ground mounted,,,State,Captive User,NA,,,,,1.6,,26.03.2019,,2018-19
143,Engie Solar (Solaire Direct)  ,Amit Jain,"203, Pentagon 3, Magarpatta City, Hadapsar Pune 411013",0206686 4719,9810062441,"amit.jain@
engie.com",200,"Ramachandrapalle, Ponnampalle, Talamanchipatanam",Mylavaram ,YSR Kadapa ,,,Yes,Kadapa Ultra Solar Park ,Ground mounted,Poly Crystalline,Jinko Solar,Central,PPA,25 Years,Talamanchipatnam (Jamalamadugu),220/400 KV,,220 KV,200,240,03.05.2019,,2019-20
144,Bharathi Polymers India Pvt.Ltd,,"8-2-626, Road No.10, Relience Majestic Building, Banjara Hills, Hyderabad-500 034",,9676831515,srinivas.v@vicat.com,1,Ippatla,Lingala,YSR Kadapa,,,No,,Ground mounted,,,,Captive User,NA,,,,,1,,22.06.2019,,2019-20
145,Sree Godavari Kraft Papers Pvt Ltd ,M.Satyanarayana,"Dr.No.46-16-17, Danavaipeta, Rajahmundry            533 103",9949640999,9949640999,godavaripapers@yahoo.com,3,kadalur,D.Herial mandal ,Ananthpuramu,"13040'11.78""N","80000'36.48""E",No,,Ground mounted,POLY,CANADIAN SOLAR,STATE,Captive User,NA,SOMALAOURAM,33 / 11  KV,dedicated feeder,,3,3.3,19.11.2019,,2019-20
146,SB Energy Solar Private Limited,Raman Nanda,"1st Floor , WorldMark 2 , Aerocity,New Delhi -110020",011-49218000,9599229219,raman@sbenergy.com,237.5,NP KUNTA,NP KUNTA,ANANTHAPUR,"78 O 26 '04.6"" E","13O  59' 35.9""N",Yes,Ananthapuramu Ultra Mega Solar park-I,Ground Mounted,Poly,Risen&Suntech,Central,PPA,25 Years,"PSS-04 ,APSPCL(33KV/220KV)  connected to   PGCIL NPKUNTA GSS-(220KV/400KV)",PSS-04 33KV/220KV;GSS-220KV/400KV,PSS-04 Feeder,220 KV,237.5,356.25,20.12.19,,2019-20
147,"M/s Greater Visakhapatnam Smart City Corporation Ltd., (GVSCCL)",,"Regd.office: C/O GVMC, Room No.306, Tenneti Bhavan, Asilmetta Junction, Visakhapatnam-530002",,9603336622,visakhapatnamsmartcity@gmail.com,1,Mudasaralova,Visakhapatnam,Visakhapatnam,,,No,NA,Ground mounted,,,State,Captive,,,,,,1,,31.01.2020,,2019-20
148,Engie Solar (Solaire Direct)  ,Amit Jain,"203, Pentagon 3, Magarpatta City, Hadapsar Pune 411013",0206686 4719,9810062441,"amit.jain@
engie.com",50,"Ramachandrapalle, Ponnampalle, Talamanchipatanam",Mylavaram ,YSR Kadapa ,,,Yes,Kadapa Ultra Solar Park ,Ground mounted,Poly Crystalline,Jinko Solar,Central,PPA,25 Years,Talamanchipatnam (Jamalamadugu),220/400 KV,,220 KV,50,50,08.02.2020,,2019-20
149,SB Energy Solar Private Limited,Raman Nanda,"1st Floor , WorldMark 2 , Aerocity,New Delhi -110020",011-49218000,9599229219,raman@sbenergy.com,12.5,NP KUNTA,NP KUNTA,ANANTHAPUR,"78 O 26 '04.6"" E","13O  59' 35.9""N",Yes,Ananthapuramu Ultra Mega Solar park-I,Ground Mounted,Poly,Risen&Suntech,Central,PPA,25 Years,"   PGCIL SS,
 NP KUNTA ",220/400 KV,PSS-04 Feeder,220 KV,12.5,,11.03.2020,,2019-20
150,Chitturi Projects pvt Ltd,Ch. Narendra,"Villa No.5, Hanging gardens,Lanco hills, Manikonda, Hyderabad.",7997999899,,chitturi99@yahoo.com,1,Nagasamudram,Kaligiri,Nellore,79.98,14.98,No,NA,Ground mounted,"Poly crystalline,330Wp",Renew Sys,State,51% captive and 49% third party sale,Basireddy palem,Vinjamururu,33 KV,33KV,33 KV,1,1.056,19.03.2020,,2019-20
151,Aditya Birla Renewable SPV 1 LTd,Surajit Chanda,"A-4, Aditya Birla Centre, S.K.Aheri Marg, Worli, Mumbai 400 030",9873722454,,abrespv@adityabirla.com,8.75,Dudyala,Sambepalli,YSR Kadapa ,"78°50'53.08""E","13°57'29.96""N",No,NA,Ground mounted,Poly Crystalline,,State,Captive,25 years,Sambepalli SS,132/33 KV,Sambepalli SS,33 KV,8.75,9.629,14.05.2020,,2020-21
152,M/s Natems Solar Power Private Limited,Praveen Reddy,,9989884808,,,9.89,Komatikuntla,Putlur,Ananthapuramu,,,No,NA,Ground Mounted,,,,Captive,,Komatikuntla,33/132 KV,,33 KV,9.89,,19.06.2020,,2020-21
153,"M/s Tirupati Smart City Corporation Limited, Tirupati ",,"Tirupati Municipal Corporation, Tilak Road, East Tirupati - 517501, Chittoor district, Andhra Pradesh
",9849906679,,,4,Rampuram,Srikalahasti,Chittoor,,,No,NA,Ground Mounted,,,,Captive,NA,Bonu Palli,33/11 KV,,33 KV,4,,20.06.2020,,2020-21
154,M/s Mondelez India Foods Private Limited,,"Central Express Way, Sector 25 Sri City,
Varadiapalem, Satyavedu (M), Chittoor Dist, 
Andhra Pradesh - 517544.  
",,9884814109,sandeep.talgaaonkar@mdlz.com,2,Varadhaipalem,Satyavedu,Chittoor,,,No,NA,,,,,Captive,NA,Chervi,,Mondelez,132 KV,2,,27.06.2020,,2020-21
155,M/s Sree Lalitha Parameswari Spinning Mills Pvt.Ltd,,"1st Floor, Tirumalal Complex, 
4/2,Brodipet, Guntur - 522 002

",9951332119,,md@slpspinningmills.com,8,Bongaravulapadu,Varikuntapadu,Nellore,,,No,NA,Ground Mounted,,,,Captive,NA,Thurpurompidodia,33/11 KV,,33 KV,8,,06.07.2020,,2020-21
156,"M/s Greater Visakhapatnam Smart City Corporation Ltd., (GVSCCL)",,"Regd.office: C/O GVMC, Room No.306, Tenneti Bhavan, Asilmetta Junction, Visakhapatnam-530002",,9603336622,visakhapatnamsmartcity@gmail.com,1.5,Krishnapuram,S Kota ,Vizianagaram,,,No,NA,Ground mounted,,,State,Captive,,Pothanapalli SS,33/11 KV,,,1.5,,08.07.2020,,2020-21
157,M/s Vasantha Industries Limited,,"Thimmapuram Village, Edlapadu Mandal,
Guntur Dist.
",,9989050699,vasanthaspinnersltd@yahoo.co.in,8,Thimmapuram ,Edlapadu ,Guntur ,,,No,NA,Ground Mounted,,,State,Captive,,Chilakalurupeta SS,,,,8,,03.08.2020,,2020-21
158, Alufluoride Ltd,,"Mulagada,Mindi,Visakhapatnam",,8912548567,contact@alufluoride.com,1.4,Polepalli,Butchiyyapeta,Visakhapatnam,,,No,NA,Ground mounted,,,State,Captive User,NA,33 KV Polepalli SS,,,33KV ,1.4,,19.08.2020,,2020-21
159,ONGC ,,"Room no: SC-12, Second floor, Godavari Bhavan, ONGC, Rajahmundry, AP state, Pin code: 533106",8832494205,9490168547,kumar_boddudeva@ongc.co.in,5,Tatipaka,Razole,East Godavari,81.897719,16.503719,NO,NA,Ground mounted(Agri-solar),Poly/Multi Crystalline,Premier Solar Systems Limited,NA,Captive User,25 years , Nagaram sub-station,33KV/11KV,ONGC Bay solar,33KV,5,6,29.08.2020,,2020-21
160,"M/s Ravali Spinners Pvt.Ltd, ",,"Beside HN-5, Khandavalli Post, Tanuku, West Godavari - 534 330 ",,9848870153,info@rspl.ind.in,1.98,Khandavalli,Peravali,West Godavari,,,No,NA,Ground Mounted,,,,Captive User,,Ravali Switching Station,132/33KV,,33KV,1.98,,14.09.2020,,2020-21
161,Arunodaya TechSolar Power Projects Private Limited,K. Sreedhara Babu,"TF-4, Empire Square Building, Road no.36, Jubilee Hills, Hyderabad-500 033",91-4029565910,7674933118,sreedhara.korukonda@cleantechsolar.com,5,Kudluru,D. Hirehal,Ananthapuramu,"76°54'40.22""E","14°51'53.53""N",No,NA,Ground mounted,Multi crystaline,Trina,State,Third Party Sale,NA,Godiselapalli SS,33/11 KV,Arunodaya,33KV,5,5.502,03.10.2020,,2020-21
162,JSW Energy Limited,,"Bandra Kurla Complex, (East) Mumbai - 400 051",91-2242861000,6281539945,ramanjaneya.k@jsw.in,5,Bilakalagudur,Gadivemula,Kurnool,"78°26'23.0""E","15°41'12.6""N",No,NA,Ground Mounted,Poly Crystaline,Vikram Solar,State,Captive,NA,Bilakalagudur Lilo SS,220/11 KV,JSW,11KV,5,6.812,03.11.2020,,2020-21
163,Ayana Ananthapuramu Solar Private Limted,,,,8800554749,narayanan@ayanapower.com; ,50,NP Kunta,NP Kunta,Ananthapuramu,"78°26'08.8""E","14°01'56.4""N",Yes,Ananthapuramu Ultra Mega Solar park-I,Ground Mounted,Poly Crystaline,,Central,PPA,25 years,NP Kunta,220/400 KV,,220 KV,50,,14.10.2020,,2020-21
164,Sprng Agnitra Pvt. Ltd.,,,,7391941866; 9963333103,"janardhanareddy@sprngenergy.com; ""rajasekharam@sprngenergy.com; ",54,NP Kunta,NP Kunta,Ananthapuramu,"78°26'08.8""E","14°01'56.4""N",Yes,Ananthapuramu Ultra Mega Solar Park-I,Ground Mounted,Poly Crystaline,,Central,PPA,25 years,N.P Kunta,220/400 KV,,200 KV,54,,11.11.2020,,2020-21
165,Bharati Cement Corporation Pvt Ltd,M Sai Ramesh,"Nallalingayapalli- Village, 
Kamalapuram - Mandal,
YSR Kadapa - District,
Andhra Pradesh- 516289",-8562307989,-8985002030,sairamesh.m@vicat.com,8,Nallalingayapalli,Kamalapuram,YSR Kadapa,78.34.188N,14.34.524N,No,NA,Ground Mounted,Poly Crystaline,Renewsys,State,Captive,NA,132KV/33KV Bharathi Cement Nallalingayapalli ,132/33 KV,Bharathi Cement,132 KV,8,10,07.12.2020,,2020-21
166,Ayana Ananthapuramu Solar Private Limted,,,,8800554749,narayanan@ayanapower.com; ,100,NP Kunta,NP Kunta,Ananthapuramu,"78°26'08.8""E","14°01'56.4""N",Yes,Ananthapuramu Ultra Mega Solar park-I,Ground Mounted,Poly Crystaline,,Central,PPA,25 years,N.P Kunta,220/400 KV,,220KV,100,,21.12.2020,,2020-21
167,Sprng Agnitra Pvt. Ltd.,,,,7391941866; 9963333103,"janardhanareddy@sprngenergy.com; ""rajasekharam@sprngenergy.com; ",98,NP Kunta,NP Kunta,Ananthapuramu,"78°26'08.8""E","14°01'56.4""N",Yes,Ananthapuramu Ultra Mega Solar Park-I,Ground Mounted,Poly Crystaline,,Central,PPA,25 years,N.P Kunta,220/400 KV,,220 KV,98,,09.01.2021,,2020-21
168,Ayana Ananthapuramu Solar Private Limted,,,,8800554749,narayanan@ayanapower.com; ,100,NP Kunta,NP Kunta,Ananthapuramu,"78°26'08.8""E","14°01'56.4""N",Yes,Ananthapuramu Ultra Mega Solar park-I,Ground Mounted,Poly Crystaline,,Central,PPA,25 years,N.P Kunta,220/400 KV,,220 KV,100,,08.03.2021,,2020-21
169,Sprng Agnitra Pvt. Ltd.,,,,7391941866; 9963333103,"janardhanareddy@sprngenergy.com; ""rajasekharam@sprngenergy.com; ",76.5,NP Kunta,NP Kunta,Ananthapuramu,"78°26'08.8""E","14°01'56.4""N",Yes,Ananthapuramu Ultra Mega Solar Park-I,Ground Mounted,Poly Crystaline,,Central,PPA,25 years,N.P Kunta,220/400 KV,,220 KV,76.5,,20.04.2021,,2021-22
170,Sprng Agnitra Pvt. Ltd.,,,,7391941866; 9963333103,"janardhanareddy@sprngenergy.com; ""rajasekharam@sprngenergy.com; ",21.5,NP Kunta,NP Kunta,Ananthapuramu,"78°26'08.8""E","14°01'56.4""N",Yes,Ananthapuramu Ultra Mega Solar Park-I,Ground Mounted,Poly Crystaline,,Central,PPA,25 years,N.P Kunta,220/400 KV,,220 KV,21.5,,04.06.2021,,2021-22
171,"M/s Garrison Engineer
( M/s Military Engineer Services)
",,"INS Kalinga Complex (NAVY),
Bheemunipatnam, Visakhapatnam-531 163",08933-228962,,gepnavykalinga-ap@nic.in,2,INS Kalinga,Bheemunipatnam,Visakhapatnam,,,No,NA,Ground Mounted,,,State,Captive Use,NA,132KV Anandapuram Sub Station,33/11 KV,INS Kalinga,33KV,2,,19.06.2021,,2021-22
172,Kanti Brothers oils Pvt. Limited,Mr.Kantilal Shah,"Kallur,Kurnool District","91-8518-
289302",9440293305,solar.kantibro@gmail.com,1,Kallur,Kallur,Kurnool,,,No,NA,Ground mounted,,,State,Captive Use ,NA,,33 /11 KV , Kalluru ,33KV ,1,,31.07.2021,,2021-22
173,Kanti Brothers oils Pvt. Limited,Mr.Kantilal Shah,"Kallur,Kurnool District","91-8518-
289302",9440293305,solar.kantibro@gmail.com,2,Kallur,Kallur,Kurnool,,,No,NA,Ground mounted,,,State,Third Party Sale,NA,,33 /11 KV , Kalluru ,33KV ,2,,31.07.2021,,2021-22
174,M/s. NTPC Limited,,,,,,25,Simhadri,Simhadri,"Visakhapatnam,",,,No,NA,,,,,Captive Use,NA,,,,,25,,21.08.2021,,2021-22
175,M/s Ultratech Cement Ltd,,"Bhogasamudram (V), Tadipatri (M),
Ananthapur District",,,,9.375,Bhogasamudram,Tadipatri,Ananthapuramu,,,No,NA,Ground Mounted,,,State,In-House Captive,NA,220 KV Gooty Sub station,,,220 KV,9.375,,30.09.2021,,2021-22
176,M/s Hero Moto Corp Limited,,"Industrial Park, Madhanapalem (V), Satyavedu (M), Chittoor District",,,manohara.chelluru@heromotocorp.com,2.08,Sricity,Satyavedu,Chittoor,,,No,NA,Ground Mounted,,,State,Captive Use,NA,Cherivi Sub Station,132/33 KV,,33KV,2.08,2.5,04.01.2022,,2021-22
177,M/s Silica Ceramica (P) Limited ( Prism Johnson Limited),,"H & R Johnson (India) Division, 305, Laxmi Niwas Apartments, Ameerpet, Hyderabad",,7799775985,balla.ram@hrjohnsonindia.com,1.2,Narayanapuram,Unguturu,West Godavari,,,No,NA,Ground Mounted,,Canadian Solar,State,In-House Captive,NA,,,,,1.2,1.5,28.01.2022,,2021-22
